study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_smpl_cnt,ww_rts_smpl_cnt,ww_pla_smpl_tkal_cnt,ww_rts_smpl_tkal_cnt
2017-R-CS-760,2017,2017-R-CS-760-13,2017-R-CS-760-13-D,3,1,1,13,D,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,58,10,47
2017-R-CS-760,2017,2017-R-CS-760-13,2017-R-CS-760-13-E,3,1,1,13,E,plot,Hereford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,59,10,40
2017-R-CS-760,2017,2017-R-CS-760-16,2017-R-CS-760-16-A,3,1,2,16,A,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,59,10,35
2017-R-CS-760,2017,2017-R-CS-760-16,2017-R-CS-760-16-B,3,1,2,16,B,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,59,9,43
2017-R-CS-760,2017,2017-R-CS-760-16,2017-R-CS-760-16-C,3,1,2,16,C,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,56,7,14
2017-R-CS-760,2017,2017-R-CS-760-16,2017-R-CS-760-16-D,3,1,2,16,D,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,44,9,31
2017-R-CS-760,2017,2017-R-CS-760-16,2017-R-CS-760-16-E,3,1,2,16,E,plot,Xi19,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,62,10,32
2017-R-CS-760,2017,2017-R-CS-760-17,2017-R-CS-760-17-A,3,1,3,17,A,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,55,10,42
2017-R-CS-760,2017,2017-R-CS-760-17,2017-R-CS-760-17-B,3,1,3,17,B,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,72,10,48
2017-R-CS-760,2017,2017-R-CS-760-17,2017-R-CS-760-17-C,3,1,3,17,C,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,57,10,19
2017-R-CS-760,2017,2017-R-CS-760-17,2017-R-CS-760-17-D,3,1,3,17,D,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,63,10,50
2017-R-CS-760,2017,2017-R-CS-760-17,2017-R-CS-760-17-E,3,1,3,17,E,plot,Hereward,HIGH,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,50,9,37
2017-R-CS-760,2017,2017-R-CS-760-14,2017-R-CS-760-14-A,3,2,1,14,A,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,64,8,19
2017-R-CS-760,2017,2017-R-CS-760-14,2017-R-CS-760-14-B,3,2,1,14,B,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,61,10,28
2017-R-CS-760,2017,2017-R-CS-760-14,2017-R-CS-760-14-C,3,2,1,14,C,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,66,10,51
2017-R-CS-760,2017,2017-R-CS-760-14,2017-R-CS-760-14-D,3,2,1,14,D,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,65,10,52
2017-R-CS-760,2017,2017-R-CS-760-14,2017-R-CS-760-14-E,3,2,1,14,E,plot,Barley - KWS Cassia,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,64,10,36
2017-R-CS-760,2017,2017-R-CS-760-15,2017-R-CS-760-15-A,3,2,2,15,A,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,66,10,49
2017-R-CS-760,2017,2017-R-CS-760-15,2017-R-CS-760-15-B,3,2,2,15,B,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,60,10,32
2017-R-CS-760,2017,2017-R-CS-760-15,2017-R-CS-760-15-C,3,2,2,15,C,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,56,9,35
2017-R-CS-760,2017,2017-R-CS-760-15,2017-R-CS-760-15-D,3,2,2,15,D,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,53,8,19
2017-R-CS-760,2017,2017-R-CS-760-15,2017-R-CS-760-15-E,3,2,2,15,E,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,59,10,36
2017-R-CS-760,2017,2017-R-CS-760-18,2017-R-CS-760-18-A,3,2,3,18,A,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,60,9,51
2017-R-CS-760,2017,2017-R-CS-760-18,2017-R-CS-760-18-B,3,2,3,18,B,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,58,10,42
2017-R-CS-760,2017,2017-R-CS-760-18,2017-R-CS-760-18-C,3,2,3,18,C,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,62,8,34
2017-R-CS-760,2017,2017-R-CS-760-18,2017-R-CS-760-18-D,3,2,3,18,D,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,62,10,44
2017-R-CS-760,2017,2017-R-CS-760-18,2017-R-CS-760-18-E,3,2,3,18,E,plot,Duxford,TEST,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,61,10,50
2017-R-CS-760,2017,2017-R-CS-760-20,2017-R-CS-760-20-A,4,1,1,20,A,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,10,64,10,41
2017-R-CS-760,2017,2017-R-CS-760-20,2017-R-CS-760-20-B,4,1,1,20,B,plot,Cadenza,LOW,2017-08-15,2018-01-15/19,post harvest,2018-01-05,2017-12-01,9,61,9,41
