study_id,harvest_year,obs_unit_id,obs_unit_rep_id,block,row,column,plot_id,sample_replicate_id,obs_unit_type,variety_factor_level,tab_variety_type,sample_date,tab_sb_assessment_date,sample_timing,tab_sb_wash_date,tab_sb_setup_date,ww_pla_cnt,ww_rts_cnt,ww_pla_tkal_cnt,ww_rts_tkal_cnt
2016-R-CS-760,2016,2016-R-CS-760-9,2016-R-CS-760-9-E,2,1,2,9,E,plot,Barley - KWS Cassia,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,57,10,48
2016-R-CS-760,2016,2016-R-CS-760-12,2016-R-CS-760-12-A,2,1,3,12,A,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,60,10,24
2016-R-CS-760,2016,2016-R-CS-760-12,2016-R-CS-760-12-B,2,1,3,12,B,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,11,73,11,59
2016-R-CS-760,2016,2016-R-CS-760-12,2016-R-CS-760-12-C,2,1,3,12,C,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,65,10,53
2016-R-CS-760,2016,2016-R-CS-760-12,2016-R-CS-760-12-D,2,1,3,12,D,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,8,50,8,25
2016-R-CS-760,2016,2016-R-CS-760-12,2016-R-CS-760-12-E,2,1,3,12,E,plot,Hereford,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,70,10,42
2016-R-CS-760,2016,2016-R-CS-760-7,2016-R-CS-760-7-A,2,2,1,7,A,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,51,9,27
2016-R-CS-760,2016,2016-R-CS-760-7,2016-R-CS-760-7-B,2,2,1,7,B,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,63,10,46
2016-R-CS-760,2016,2016-R-CS-760-7,2016-R-CS-760-7-C,2,2,1,7,C,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,68,10,59
2016-R-CS-760,2016,2016-R-CS-760-7,2016-R-CS-760-7-D,2,2,1,7,D,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,62,10,50
2016-R-CS-760,2016,2016-R-CS-760-7,2016-R-CS-760-7-E,2,2,1,7,E,plot,Xi19,TEST,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,9,50,9,27
2016-R-CS-760,2016,2016-R-CS-760-10,2016-R-CS-760-10-A,2,2,2,10,A,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,54,9,23
2016-R-CS-760,2016,2016-R-CS-760-10,2016-R-CS-760-10-B,2,2,2,10,B,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,58,8,22
2016-R-CS-760,2016,2016-R-CS-760-10,2016-R-CS-760-10-C,2,2,2,10,C,plot,Hereward,HIGH,8/22/2016,2016-10-03/21,post harvest,9/29/2016,8/25/2016,10,62,10,47
